Frame,So_Xe,FPS
1042,3,11.01
1043,3,11.03
1044,3,11.22
1045,3,11.49
1046,3,11.58
1047,3,11.31
1048,3,11.31
1049,3,10.53
1050,3,9.74
1051,3,9.77
1052,3,10.19
1053,3,9.89
1054,3,10.33
1055,3,10.37
1056,3,10.71
1057,3,10.87
1058,3,10.89
1059,3,11.26
1060,3,11.42
1061,3,11.37
1062,3,11.48
1063,3,10.94
1064,3,10.19
1065,3,9.21
1066,3,8.56
1067,3,8.0
1068,3,7.48
1069,3,7.2
1070,3,6.99
1071,3,8.42
1072,3,9.48
1073,3,10.28
1074,3,11.23
1075,3,12.17
1076,3,12.67
1077,3,13.45
1078,3,13.87
1079,3,14.32
1080,3,14.8
1081,3,15.28
1082,3,15.7
1083,3,15.98
1084,3,16.27
1085,3,16.31
1086,3,16.46
1087,3,16.72
1088,3,16.46
1089,3,16.42
1090,3,16.52
1091,3,16.48
1092,3,16.34
1093,3,16.8
1094,3,16.87
1095,3,17.12
1096,3,17.43
1097,3,16.74
1098,3,16.99
1099,3,17.27
1100,3,17.58
1101,3,17.92
1102,3,17.42
1103,3,17.28
1104,3,17.04
1105,3,16.78
1106,3,16.62
1107,3,16.45
1108,3,15.54
1109,3,15.03
1110,3,14.58
1111,3,14.39
1112,3,14.47
1113,3,14.16
1114,3,14.22
1115,3,14.24
1116,3,14.47
1117,3,13.92
1118,3,13.37
1119,3,13.19
1120,4,13.76
1121,4,13.25
1122,4,13.1
